Rule,Output,Risk Level
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.1979,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",-0.8020,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.7072,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.9893,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.2095,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.3541,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.1445,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.2685,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.0003,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.2350,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.4333,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.6749,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.4731,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",0.2454,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.7998,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.2959,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",3.0440,🔴 high
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",1.2813,🔴 high
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.4502,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.6207,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.3090,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",-0.5954,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.5441,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.4066,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.0967,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.2760,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",-0.7234,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.3462,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-1.3033,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.1598,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.0475,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.3646,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.4877,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",0.4383,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.7959,🔴 high
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.3625,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.7127,🔴 high
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.3380,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",0.3813,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.7316,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.5165,🟡 medium
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",6.4762,🔴 high
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",2.7050,🔴 high
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-1.2039,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.6401,🟢 low
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.7933,🔴 high
"IF temperature IS MF1 (mu=0.1112, sigma=0.2583) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",-1.1071,🟢 low
